"행정구역별(1)",행정구역별(2),2019. 11,2019. 11,2019. 11,2019. 12,2019. 12,2019. 12,2020. 01,2020. 01,2020. 01,2020. 02,2020. 02,2020. 02,2020. 03,2020. 03,2020. 03
"행정구역별(1)",행정구역별(2),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명),고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명)
"전국",소계,15.4,7994941,51851427,15.5,8026915,51849861,15.6,8075536,51847509,15.7,8122592,51844627,15.8,8193267,51843195
"서울특별시",소계,15.1,1473036,9732577,15.2,1478664,9729107,15.3,1488747,9733509,15.4,1497449,9736962,15.5,1510460,9733655
"서울특별시",종로구,18.0,27263,151457,18.1,27318,151290,18.2,27502,151215,18.3,27650,151309,18.4,27855,151217
"서울특별시",중구,18.1,22901,126209,18.2,22974,126171,18.3,23115,126201,18.4,23257,126259,18.6,23448,126175
"서울특별시",용산구,16.7,38240,228507,16.8,38346,228670,16.8,38598,229385,16.9,38743,229677,17.0,38947,229579
"서울특별시",성동구,14.5,43670,301527,14.6,43796,300889,14.7,44053,300410,14.8,44249,299797,14.9,44547,299042
"서울특별시",광진구,13.5,47512,351699,13.6,47681,351350,13.7,48003,351263,13.8,48271,351032,13.9,48721,350417
"서울특별시",동대문구,17.0,59013,346166,17.1,59170,346194,17.2,59479,346080,17.3,59740,346072,17.4,60157,346156
"서울특별시",중랑구,16.3,64851,397297,16.4,65065,397015,16.5,65554,396755,16.7,66000,396314,16.8,66649,395619
"서울특별시",성북구,15.9,70561,443111,16.0,70699,442650,16.1,71116,442471,16.1,71439,442483,16.3,71997,442494
"서울특별시",강북구,19.2,60283,314306,19.3,60474,313954,19.4,60786,313705,19.5,61054,313289,19.7,61537,312985
"서울특별시",도봉구,17.5,58443,333902,17.6,58664,333362,17.8,59066,332753,17.9,59408,332083,18.1,59968,331238
"서울특별시",노원구,15.1,80518,533498,15.2,80854,532905,15.3,81410,532662,15.4,81919,531840,15.6,82605,531037
"서울특별시",은평구,16.7,80295,480701,16.8,80567,480032,16.9,81031,479457,17.0,81431,479005,17.2,82046,478019
"서울특별시",서대문구,16.6,51481,309312,16.7,51645,309397,16.7,51967,310353,16.8,52201,311327,16.8,52568,312642
"서울특별시",마포구,13.9,51958,374028,13.9,52104,374035,14.0,52382,373951,14.0,52574,374315,14.1,52912,374570
"서울특별시",양천구,13.3,60843,458691,13.3,61147,458165,13.5,61592,457887,13.5,61960,457332,13.7,62622,456339
"서울특별시",강서구,14.1,83461,592309,14.2,83839,591796,14.3,84459,591599,14.4,84957,590419,14.5,85713,589302
"서울특별시",구로구,15.9,64686,407090,16.0,64932,406664,16.1,65413,406751,16.2,65833,406245,16.4,66383,405837
"서울특별시",금천구,15.9,37013,232889,16.0,37196,232810,16.0,37398,233066,16.2,37606,232827,16.3,37948,232583
"서울특별시",영등포구,15.4,56739,367800,15.5,56957,367678,15.6,57312,367916,15.6,57722,370108,15.7,58266,371903
"서울특별시",동작구,15.6,61765,396460,15.7,61994,395963,15.8,62355,395636,15.8,62632,395201,16.0,63090,395014
"서울특별시",관악구,14.9,74567,500803,15.0,74787,500094,15.0,75190,499869,15.1,75559,499587,15.3,76174,499374
"서울특별시",서초구,13.2,56811,430697,13.2,57036,430826,13.3,57375,431050,13.4,57741,431336,13.5,58226,430568
"서울특별시",강남구,13.0,70621,545024,13.0,70896,545169,13.1,71480,545938,13.2,71944,546436,13.3,72461,544804
"서울특별시",송파구,12.8,86722,675843,12.9,87182,675961,13.0,87958,676341,13.1,88558,675782,13.3,89346,674095
"서울특별시",강동구,14.5,62819,433251,14.5,63341,436067,14.6,64153,440795,14.5,65001,446887,14.6,66274,452646
"부산광역시",소계,18.1,617395,3416721,18.2,620123,3413841,18.3,623910,3411819,18.4,627817,3410925,18.6,633548,3409932
"부산광역시",중구,25.5,10714,41983,25.6,10744,41910,25.8,10812,41830,26.0,10876,41826,26.2,10957,41764
