,city,loc_kor,aged_per,aged_num,population
3,서울특별시,종로구,18.4,27855,151217
4,서울특별시,중구,18.6,23448,126175
5,서울특별시,용산구,17.0,38947,229579
6,서울특별시,성동구,14.9,44547,299042
7,서울특별시,광진구,13.9,48721,350417
8,서울특별시,동대문구,17.4,60157,346156
9,서울특별시,중랑구,16.8,66649,395619
10,서울특별시,성북구,16.3,71997,442494
11,서울특별시,강북구,19.7,61537,312985
12,서울특별시,도봉구,18.1,59968,331238
13,서울특별시,노원구,15.6,82605,531037
14,서울특별시,은평구,17.2,82046,478019
15,서울특별시,서대문구,16.8,52568,312642
16,서울특별시,마포구,14.1,52912,374570
17,서울특별시,양천구,13.7,62622,456339
18,서울특별시,강서구,14.5,85713,589302
19,서울특별시,구로구,16.4,66383,405837
20,서울특별시,금천구,16.3,37948,232583
21,서울특별시,영등포구,15.7,58266,371903
22,서울특별시,동작구,16.0,63090,395014
23,서울특별시,관악구,15.3,76174,499374
24,서울특별시,서초구,13.5,58226,430568
25,서울특별시,강남구,13.3,72461,544804
26,서울특별시,송파구,13.3,89346,674095
27,서울특별시,강동구,14.6,66274,452646
29,부산광역시,중구,26.2,10957,41764
30,부산광역시,서구,24.6,26495,107669
31,부산광역시,동구,25.5,22729,89289
32,부산광역시,영도구,26.4,30604,115886
33,부산광역시,부산진구,19.2,68391,356661
34,부산광역시,동래구,17.7,48141,272319
35,부산광역시,남구,19.3,52519,272381
36,부산광역시,북구,16.3,47061,289575
37,부산광역시,해운대구,16.7,67668,405155
38,부산광역시,사하구,18.0,57337,318866
39,부산광역시,금정구,20.0,47463,237508
40,부산광역시,강서구,11.9,15633,131140
41,부산광역시,연제구,18.5,38855,210326
42,부산광역시,수영구,20.6,36378,176967
43,부산광역시,사상구,17.2,37305,216840
44,부산광역시,기장군,15.5,26012,167586
46,대구광역시,중구,20.4,15733,77136
47,대구광역시,동구,19.0,65245,343933
48,대구광역시,서구,21.5,37415,174042
49,대구광역시,남구,22.6,33516,148083
50,대구광역시,북구,14.1,61438,436847
51,대구광역시,수성구,15.1,64829,428777
52,대구광역시,달서구,13.7,77764,567978
53,대구광역시,달성군,12.2,31378,256772
55,인천광역시,중구,14.2,19586,137587
